Title,Company,Location,Description,URL
Senior Data Analyst (U.S. remote eligible),"Eternal Word Television Network, Inc.",Remote in Alabama,"Master’s degree or advanced experience in data science, data engineering or related field.
Ensure integrity of data structure, working with internal and…",https://www.indeed.com/viewjob?jk=400cd0aab0d76507&from=serp&vjs=3
Data Management Section 3 Specialist,DC Housing Authority,"Washington, DC 20024 (Southwest Waterfront area)","Designs new methodologies for the collection of all required data and maintains current databases;
Utilizes various data visualization techniques and…",https://www.indeed.com/viewjob?jk=7b97c8b863c314ca&from=serp&vjs=3
OUTCOMES DATA SPECIALIST,Montefiore Medical Center,"Bronx, NY 10467 (Williams Bridge area)","This Outcome Data Specialist is responsible for collecting, entering, and coordinating nursing outcome data.
P of Professional Practice/Nursing Quality Officer…",https://www.indeed.com/viewjob?jk=499ae1ccead240eb&from=serp&vjs=3
Statistician,US Office of Enterprise Integration,"Washington, DC 20420 (Downtown area)",Applies advanced statistical theories and comprehensive professional knowledge in conducting data analysis to recommend improvements in study design and data…,https://www.indeed.com/viewjob?jk=c58c66a49c582440&from=serp&vjs=3
Adjunct Faculty - Data Interaction & Visual Analytics,New York Institute of Technology,"New York, NY 10023 (Upper West Side area)","The instructor will teach courses related to Visual Analytics, covering data exploration, data appreciation, data cleaning, data analytics and data…",https://www.indeed.com/viewjob?jk=36fdcf5b579051b9&from=serp&vjs=3
PMO Analyst – Data Analysis,CACI,Virginia,"Experience compiling and analyzing complex and nuanced data.
Experience tracking and analyzing cost data and metrics.
Minimum Clearance Required to Start: None.",https://www.indeed.com/viewjob?jk=c31d803fe92092cd&from=serp&vjs=3
Data Collection and Analysis Coordinator,City of Cleveland,United States,"Develops a protocol to accurately analyze the data collected.
Reports data analyses to the Chief of Police, Police Inspector General, The Police Commission, and…",https://www.indeed.com/viewjob?jk=30466bc571d0363b&from=serp&vjs=3
BI Analyst,Offerpad,"Chandler, AZ 85286","**Applicants are required to be eligible to lawfully work in the U.S. immediately; employer will not sponsor applicants for U.S. work authorization (e.g., H…",https://www.indeed.com/viewjob?jk=d9fbe51741129967&from=serp&vjs=3
Data & Allocation Analyst,Hasbro,"Providence, RI 02903 (Downtown area)","At Hasbro, our mission is to entertain and connect generations of fans through the wonder of storytelling and exhilaration of play. We’re looking for…",https://www.indeed.com/viewjob?jk=441a36272d08a2c8&from=serp&vjs=3
Data Scientist 3,United Launch Alliance,"Centennial, CO 80112","Data Scientist 3Date: Jul 13, 2024 Location: Centennial, CO, US, 80112 Company: United Launch Alliance Requisition ID: 188 Location: ULA - Denver…",https://www.indeed.com/viewjob?jk=77fafa520bbe4db9&from=serp&vjs=3
Data Engineer,Grant Street Group,Remote,"At Grant Street Group, we provide quality software and uncompromising support for tax collection, ePayments, and auctions to help government work better and…",https://www.indeed.com/viewjob?jk=184f81b50180928e&from=serp&vjs=3
Data Analyst,CACI,"Norco, CA 92860",Data Analyst Job Category: Service Contract Act Time Type: Full time Minimum Clearance Required to Start: Secret Employee Type: Regular Percentage of…,https://www.indeed.com/viewjob?jk=8650861bb6ed41f6&from=serp&vjs=3
HR Data Analyst,Harris County,"Houston, TX 77092 (Lazybrook - Timbergrove area)","Position Description About Harris County Flood Control District: The Flood Control District has the mission to reduce the risk of flooding in Harris County,…",https://www.indeed.com/viewjob?jk=bdb291c45c00e9cb&from=serp&vjs=3
"AIML - Chief of Staff, Data and Machine Learning Innovation",Apple,"Cupertino, CA","Summary Posted: Jul 19, 2024 Role Number:200559742 Apple is where individual imaginations gather together, committing to the values that lead to great work…",https://www.indeed.com/viewjob?jk=228c3da0f54e9d26&from=serp&vjs=3
Sr. Data Scientist,Exeter Finance LLC,"Irving, TX 75063 (Freeport/Hackberry area)","At Exeter Finance, we are committed to helping customers find the right financing for their next vehicle purchase. By building strong relationships with our…",https://www.indeed.com/viewjob?jk=35c54417534f0b16&from=serp&vjs=3
"Manager, Customer Support",PitchBook Data,"Hybrid work in New York, NY","At PitchBook, we are always looking forward. We continue to innovate, evolve, and invest in ourselves to bring out the best in everyone. We're deeply…",https://www.indeed.com/viewjob?jk=807ebd716a1f32ec&from=serp&vjs=3
"Data Analyst - Education - NYU Langone Long Island, School of Medicine - Mineola",NYU Langone Health,"Mineola, NY 11501","NYU Langone Hospital-Long Island is a 591-bed university-affiliated medical center, which offers sophisticated diagnostic and therapeutic care in virtually…",https://www.indeed.com/viewjob?jk=ceb8341bd8f92922&from=serp&vjs=3
"Business Analyst, Equities","Jefferies & Company, Inc.","New York, NY","Description: As a Business Analyst/Product Manager on the Prime Services Technology Team, you will work in a fast-paced team setting, alongside industry…",https://www.indeed.com/viewjob?jk=1eb85305941692f3&from=serp&vjs=3
IT Business Analyst,TCS Education System,Remote,"Job Description: Position Summary The Business Analyst position supports functional areas in their use of business applications, and works closely with…",https://www.indeed.com/viewjob?jk=c8a520f662abdc5f&from=serp&vjs=3
Senior Data Analyst (U.S. remote eligible),"Eternal Word Television Network, Inc.",Remote in Alabama,"HOW YOU WILL IMPACT THE BIG PICTURE: As the Senior Data Analyst, you will assist the Director of Direct Response by providing fundraising, marketing and…",https://www.indeed.com/viewjob?jk=400cd0aab0d76507&from=serp&vjs=3
Data Management Section 3 Specialist,DC Housing Authority,"Washington, DC 20024 (Southwest Waterfront area)","Essential Duties and Responsibilities Collects, manages, and analyzes all data as it relates to applicable programs in the Office of Resident Services;…",https://www.indeed.com/viewjob?jk=7b97c8b863c314ca&from=serp&vjs=3
OUTCOMES DATA SPECIALIST,Montefiore Medical Center,"Bronx, NY 10467 (Williams Bridge area)","This Outcome Data Specialist is responsible for collecting, entering, and coordinating nursing outcome data. Analytical methodology is used to produce reports…",https://www.indeed.com/viewjob?jk=499ae1ccead240eb&from=serp&vjs=3
Claims Provider Data Oversight Manager,CareSource,Remote,"Minimum of three (3) years of progressive experience in provider record data, claims data management or a related field, including claims outcome analysis, is…",https://www.indeed.com/viewjob?jk=0f4d68c158231018&from=serp&vjs=3
SENIOR DATA ANALYST,NORTH EAST MEDICAL SERVICES,United States,"Perform research by gathering data from a variety of healthcare sources, including internal and external data/research.
Fluency in other languages are an asset.",https://www.indeed.com/viewjob?jk=e024e330774c917c&from=serp&vjs=3
Data Visualization Developer (0652U) 70377,University of California Berkeley,"Berkeley, CA 94720",The incumbent will be a seasoned data visualization developer with interest and experience complementing teams that address environmental challenges with data…,https://www.indeed.com/viewjob?jk=3de8dd9e2ab40df0&from=serp&vjs=3
Data Scientist- CalAIM,"Public Health Foundation Enterprises, In","Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",https://www.indeed.com/viewjob?jk=e74f4f502a36f16c&from=serp&vjs=3
RA Data Analytics Apprentice,DSM,Connecticut,"Maintain databases and systems – reorganizing data in a readable format;
Maintaining reports for the management using relevant data; •Follow Standard…",https://www.indeed.com/viewjob?jk=247c35234f64904a&from=serp&vjs=3
Data Scientist,Mimecast,"Lexington, MA 02421","At Mimecast, we deliver the right data to the right people at the right time, supporting data-driven decisions with self-service dashboards, custom alerts, and…",https://www.indeed.com/viewjob?jk=fbcf62571748d6b4&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257","Ensure 1st-party data collection is consistent following established data-layer standards and user consent preferences.
Click here to explore options.",https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Facility with computerized data management and the organization of quantitative data.
Ensures the cyclical data management and data analysis are carried out in…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)","Assisting programmatic staff by doing data entry and data “clean-up”.
Experience reviewing and interpreting data and reports is required.
Hours 8:30-4:30 M-F.",https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a week.,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Prepares and analyzes audit reports to ensure data integrity.
The Finance & Accounting Team has fiduciary responsibility for financial aspects of our end-to-end…",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504","Experience with data modeling and data analysis.
Build extensive data analytics products with multiple large data sources using data platforms such as PowerBI…",https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","Serving more than 2 million members in five health plans, we make sure our members get the right care at the right place at the right time.",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Integrated Data Repository,Softrams,Remote,"Performs hands-on IDR data query work and/or guides others in needed data queries, data engineering, and data analysis.
2020 Washington Technology Fast 50.",https://www.indeed.com/viewjob?jk=7a843dee4acc3d1e&from=serp&vjs=3
Data Science Specialist,Tufts University,"Hybrid work in Somerville, MA 02144","Support for data science scholarship includes cutting-edge methods and tools for data engineering, data analysis, and data visualization.",https://www.indeed.com/viewjob?jk=8ed82aba35a7c587&from=serp&vjs=3
Machine Learning Researcher,Apple,"Sunnyvale, CA","Excellent understanding of deep learning algorithms and workflows, in particular working with large scale real world 2D and 3D data.",https://www.indeed.com/viewjob?jk=56ef59072ce298aa&from=serp&vjs=3
IDMS Data Entry Analyst,"Team Industrial Services, Inc.","Pasadena, TX","O Ensure accurate and comprehensive data entry, adhering to established standards and protocols.
Seft starter with an above average understanding of mechanical…",https://www.indeed.com/viewjob?jk=81d98e7311a395af&from=serp&vjs=3
Research Data Scientist - Python and AI modeling preferred,NYU Langone,"New York, NY",The scientist is also expected to take advantage of NYU Grossman School of Medicine’s rich ecosystem of education data (a comprehensive education data warehouse…,https://www.indeed.com/viewjob?jk=7bca5ea2fec8d85c&from=serp&vjs=3
Marketing Data Strategist,SAP,"Houston, TX 77098 (Montrose area)","Core responsibility will be to truly understand data and create data lineage necessary for data strategy.
Deep Experience with CRM data structures and account &…",https://www.indeed.com/viewjob?jk=3c5b0e1fd26b1ebd&from=serp&vjs=3
Business Analyst 3 (2 vacancies),Metropolitan Council,"Hybrid work in Minneapolis, MN","Any of the following combinations of experience in business analysis work including functional requirements gathering, business process mapping, process…",https://www.indeed.com/viewjob?jk=cbc5cafd5a46d1e6&from=serp&vjs=3
Climate Data Scientist,Booz Allen,"Arlington, VA","Experience with blending physical information with statistics to account for uncertainties in model and data.
Ability to obtain a security clearance.",https://www.indeed.com/viewjob?jk=e2418c3e637e8232&from=serp&vjs=3
Biodiversity Data Coordinator,Yale University,"New Haven, CT 06511 (Prospect Hill area)","Identify data gaps to drive priorities for data mobilization team.7.
Assess the data quality of datasets prepared by technicians and other data contributors to…",https://www.indeed.com/viewjob?jk=fd147ba2d0d89f01&from=serp&vjs=3
Data Science- Remote,Cognizant,"Remote in Johnston, RI 02919","Our clients need flexible data structures and a streamlined data architecture that quickly turns data resources into informative, meaningful intelligence.",https://www.indeed.com/viewjob?jk=a20bd34fb8a2cbaf&from=serp&vjs=3
Jr. Yield/Business Analyst,Tauck,"Wilton, CT","Maintains information and data collection for all Revenue Management functions and tools; including year-end reports, utilization reporting, historic data, and…",https://www.indeed.com/viewjob?jk=be549d2cf3334a19&from=serp&vjs=3
Data Engineering Specialist,Cognizant,"El Segundo, CA 90245","Design and maintain scalable data pipelines to support large-scale data processing.
Oversee the integration of data from various sources to ensure seamless data…",https://www.indeed.com/viewjob?jk=18849555e528cf2d&from=serp&vjs=3
BI Analyst,Offerpad,"Chandler, AZ 85286","2+ years BI Analyst experience; data modeling, working with data to provide reporting and analysis.
Works with business partners and leaders at all levels on…",https://www.indeed.com/viewjob?jk=d9fbe51741129967&from=serp&vjs=3
Data & Allocation Analyst,Hasbro,"Providence, RI 02903 (Downtown area)","Report building, and data analytics expertise.
You will gather, transform, and report large sets of unstructured data into structured information for analysis,…",https://www.indeed.com/viewjob?jk=441a36272d08a2c8&from=serp&vjs=3
Data Scientist 3,United Launch Alliance,"Centennial, CO 80112","Technical expertise regarding data models, data mining, data extraction and wrangling techniques.
Develop visualizations to describe data sets under…",https://www.indeed.com/viewjob?jk=77fafa520bbe4db9&from=serp&vjs=3
Data Engineer,Grant Street Group,Remote,We are looking for a data engineer who has a strong technical background and interest in ETL processes and data warehousing.,https://www.indeed.com/viewjob?jk=184f81b50180928e&from=serp&vjs=3
Data Analyst,CACI,"Norco, CA 92860","Knowledge of assessment measures and the data required to assess them.
Process raw data into useable H5 format via in house applications and tools.",https://www.indeed.com/viewjob?jk=8650861bb6ed41f6&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257",Ensure 1st-party data collection is consistent following established data-layer standards and user consent preferences.,https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Facility with computerized data management and the organization of quantitative data.
Ensures the cyclical data management and data analysis are carried out in…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)","Assisting programmatic staff by doing data entry and data “clean-up”.
Experience reviewing and interpreting data and reports is required.",https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a…,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Prepares and analyzes audit reports to ensure data integrity.
The team also oversees our Mexico Division's accounting, tax, and finance operations.",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504","Experience with data modeling and data analysis.
Build extensive data analytics products with multiple large data sources using data platforms such as PowerBI…",https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","The position is responsible for assisting in the collection, analysis and evaluation of data in order to conduct complex studies through the use of statistical…",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Integrated Data Repository,Softrams,Remote,"Performs hands-on IDR data query work and/or guides others in needed data queries, data engineering, and data analysis.
This is a full-time W-2 opportunity.",https://www.indeed.com/viewjob?jk=7a843dee4acc3d1e&from=serp&vjs=3
Data Science Specialist,Tufts University,"Hybrid work in Somerville, MA 02144","Support for data science scholarship includes cutting-edge methods and tools for data engineering, data analysis, and data visualization.",https://www.indeed.com/viewjob?jk=8ed82aba35a7c587&from=serp&vjs=3
Database Administrator,NAVEX Global,"Lake Oswego, OR 97035 (Lake Forest area)","Update production data to implement and support new and existing customers.
Implement and maintain data integration between customer and non-customer databases…",https://www.indeed.com/viewjob?jk=13cf5e2f7eb0db17&from=serp&vjs=3
Sr. Data Engineer,Craft.co,Remote in United States,"Support in setting data strategies and our vision.
Building and optimizing data pipelines (batch and streaming).
3+ years of experience in Data Engineering.",https://www.indeed.com/viewjob?jk=d76d441549382353&from=serp&vjs=3
Billing Clerk / POS Data Entry,"Klafters, Inc/ Smoker Friendly","New Castle, PA 16101","Accuracy in data entry is critical.
Accurate data entry for credit card processing and invoice processing.
At least 1 year of billing or data entry experience…",https://www.indeed.com/viewjob?jk=71b16449d6611bdd&from=serp&vjs=3
BI Data Analytics Reporting Analyst,ORIX,"Dallas, TX","Develop and execute database queries and conduct data analysis.
Assist in data collection and reporting for rating agencies with respect to statistical…",https://www.indeed.com/viewjob?jk=1e12a78a1f616631&from=serp&vjs=3
Data Analyst - CSS Core Services,Hewlett Packard,"Vancouver, WA 98683 (Bella Vista area)","5+ years of experience in data analysis, data visualization, and web analytics.
This role involves working with large and complex datasets to develop insightful…",https://www.indeed.com/viewjob?jk=7fc3520a92231728&from=serp&vjs=3
Clinical Data Analyst - BMT Support - Flexi,University of Alabama at Birmingham,"Birmingham, AL",To obtain clinical data entered in to medical record and to interpret and analyze the data for required reporting to the Center for International Blood and…,https://www.indeed.com/viewjob?jk=b9a72de9aed526ed&from=serp&vjs=3
BI Analyst,Offerpad,"Chandler, AZ 85286","2+ years BI Analyst experience; data modeling, working with data to provide reporting and analysis.
Works with business partners and leaders at all levels on…",https://www.indeed.com/viewjob?jk=d9fbe51741129967&from=serp&vjs=3
Data & Allocation Analyst,Hasbro,"Providence, RI 02903 (Downtown area)","Report building, and data analytics expertise.
You will gather, transform, and report large sets of unstructured data into structured information for analysis,…",https://www.indeed.com/viewjob?jk=441a36272d08a2c8&from=serp&vjs=3
Data Scientist 3,United Launch Alliance,"Centennial, CO 80112","Technical expertise regarding data models, data mining, data extraction and wrangling techniques.
Develop visualizations to describe data sets under…",https://www.indeed.com/viewjob?jk=77fafa520bbe4db9&from=serp&vjs=3
Data Engineer,Grant Street Group,Remote,We are looking for a data engineer who has a strong technical background and interest in ETL processes and data warehousing.,https://www.indeed.com/viewjob?jk=184f81b50180928e&from=serp&vjs=3
Data Analyst,CACI,"Norco, CA 92860","Knowledge of assessment measures and the data required to assess them.
Process raw data into useable H5 format via in house applications and tools.",https://www.indeed.com/viewjob?jk=8650861bb6ed41f6&from=serp&vjs=3
HR Data Analyst,Harris County,"Houston, TX 77092 (Lazybrook - Timbergrove area)","Implement and enforce data privacy and security measures to safeguard HR data and protect employee privacy rights.
Experience with HRIS systems (i.e., ClayHR).",https://www.indeed.com/viewjob?jk=bdb291c45c00e9cb&from=serp&vjs=3
"AIML - Chief of Staff, Data and Machine Learning Innovation",Apple,"Cupertino, CA","As part of Apple's AI and Machine Learning org, we encourage and create groundbreaking technology for large-scale ML systems, computer vision, natural language…",https://www.indeed.com/viewjob?jk=228c3da0f54e9d26&from=serp&vjs=3
Sr. Data Scientist,Exeter Finance LLC,"Irving, TX 75063 (Freeport/Hackberry area)","Experience working with credit bureau data preferred.
Two (2) plus years of experience using SQL Server or other relational databases to extract data for model…",https://www.indeed.com/viewjob?jk=35c54417534f0b16&from=serp&vjs=3
"Manager, Customer Support",PitchBook Data,"Hybrid work in New York, NY",Regularly review Highspot to ensure you and your team are knowledgeable on the latest product and data initiatives and releases.,https://www.indeed.com/viewjob?jk=807ebd716a1f32ec&from=serp&vjs=3
"Data Analyst - Education - NYU Langone Long Island, School of Medicine - Mineola",NYU Langone Health,"Mineola, NY 11501","Coordinates and maintains electronic data feeds between various data sources.
Supports research on OME data sources.",https://www.indeed.com/viewjob?jk=ceb8341bd8f92922&from=serp&vjs=3
"Business Analyst, Equities","Jefferies & Company, Inc.","New York, NY","You will be an expert in cross-functional, end-to-end delivery that spans Prime Service technology across all platform line of businesses which are Cash and…",https://www.indeed.com/viewjob?jk=1eb85305941692f3&from=serp&vjs=3
IT Business Analyst,TCS Education System,Remote,"Produce data and reports to meet business unit information analysis needs.
Act as primary troubleshooter to resolve data accuracy issues within the various…",https://www.indeed.com/viewjob?jk=c8a520f662abdc5f&from=serp&vjs=3
Senior Data Analyst (U.S. remote eligible),"Eternal Word Television Network, Inc.",Remote in Alabama,"Master’s degree or advanced experience in data science, data engineering or related field.
Ensure integrity of data structure, working with internal and…",https://www.indeed.com/viewjob?jk=400cd0aab0d76507&from=serp&vjs=3
Data Management Section 3 Specialist,DC Housing Authority,"Washington, DC 20024 (Southwest Waterfront area)","Designs new methodologies for the collection of all required data and maintains current databases;
Utilizes various data visualization techniques and…",https://www.indeed.com/viewjob?jk=7b97c8b863c314ca&from=serp&vjs=3
OUTCOMES DATA SPECIALIST,Montefiore Medical Center,"Bronx, NY 10467 (Williams Bridge area)","This Outcome Data Specialist is responsible for collecting, entering, and coordinating nursing outcome data.
P of Professional Practice/Nursing Quality Officer…",https://www.indeed.com/viewjob?jk=499ae1ccead240eb&from=serp&vjs=3
BI Analyst,Offerpad,"Chandler, AZ 85286","2+ years BI Analyst experience; data modeling, working with data to provide reporting and analysis.
Works with business partners and leaders at all levels on…",https://www.indeed.com/viewjob?jk=d9fbe51741129967&from=serp&vjs=3
Data & Allocation Analyst,Hasbro,"Providence, RI 02903 (Downtown area)","Report building, and data analytics expertise.
You will gather, transform, and report large sets of unstructured data into structured information for analysis,…",https://www.indeed.com/viewjob?jk=441a36272d08a2c8&from=serp&vjs=3
Data Scientist 3,United Launch Alliance,"Centennial, CO 80112","Technical expertise regarding data models, data mining, data extraction and wrangling techniques.
Develop visualizations to describe data sets under…",https://www.indeed.com/viewjob?jk=77fafa520bbe4db9&from=serp&vjs=3
Data Engineer,Grant Street Group,Remote,We are looking for a data engineer who has a strong technical background and interest in ETL processes and data warehousing.,https://www.indeed.com/viewjob?jk=184f81b50180928e&from=serp&vjs=3
Data Analyst,CACI,"Norco, CA 92860","Knowledge of assessment measures and the data required to assess them.
Process raw data into useable H5 format via in house applications and tools.",https://www.indeed.com/viewjob?jk=8650861bb6ed41f6&from=serp&vjs=3
HR Data Analyst,Harris County,"Houston, TX 77092 (Lazybrook - Timbergrove area)","Implement and enforce data privacy and security measures to safeguard HR data and protect employee privacy rights.
Experience with HRIS systems (i.e., ClayHR).",https://www.indeed.com/viewjob?jk=bdb291c45c00e9cb&from=serp&vjs=3
"AIML - Chief of Staff, Data and Machine Learning Innovation",Apple,"Cupertino, CA","As part of Apple's AI and Machine Learning org, we encourage and create groundbreaking technology for large-scale ML systems, computer vision, natural language…",https://www.indeed.com/viewjob?jk=228c3da0f54e9d26&from=serp&vjs=3
Sr. Data Scientist,Exeter Finance LLC,"Irving, TX 75063 (Freeport/Hackberry area)","Experience working with credit bureau data preferred.
Two (2) plus years of experience using SQL Server or other relational databases to extract data for model…",https://www.indeed.com/viewjob?jk=35c54417534f0b16&from=serp&vjs=3
"Manager, Customer Support",PitchBook Data,"Hybrid work in New York, NY",Regularly review Highspot to ensure you and your team are knowledgeable on the latest product and data initiatives and releases.,https://www.indeed.com/viewjob?jk=807ebd716a1f32ec&from=serp&vjs=3
"Data Analyst - Education - NYU Langone Long Island, School of Medicine - Mineola",NYU Langone Health,"Mineola, NY 11501","Coordinates and maintains electronic data feeds between various data sources.
Supports research on OME data sources.",https://www.indeed.com/viewjob?jk=ceb8341bd8f92922&from=serp&vjs=3
"Business Analyst, Equities","Jefferies & Company, Inc.","New York, NY","You will be an expert in cross-functional, end-to-end delivery that spans Prime Service technology across all platform line of businesses which are Cash and…",https://www.indeed.com/viewjob?jk=1eb85305941692f3&from=serp&vjs=3
IT Business Analyst,TCS Education System,Remote,"Produce data and reports to meet business unit information analysis needs.
Act as primary troubleshooter to resolve data accuracy issues within the various…",https://www.indeed.com/viewjob?jk=c8a520f662abdc5f&from=serp&vjs=3
Senior Data Analyst (U.S. remote eligible),"Eternal Word Television Network, Inc.",Remote in Alabama,"Master’s degree or advanced experience in data science, data engineering or related field.
Ensure integrity of data structure, working with internal and…",https://www.indeed.com/viewjob?jk=400cd0aab0d76507&from=serp&vjs=3
Data Management Section 3 Specialist,DC Housing Authority,"Washington, DC 20024 (Southwest Waterfront area)","Designs new methodologies for the collection of all required data and maintains current databases;
Utilizes various data visualization techniques and…",https://www.indeed.com/viewjob?jk=7b97c8b863c314ca&from=serp&vjs=3
OUTCOMES DATA SPECIALIST,Montefiore Medical Center,"Bronx, NY 10467 (Williams Bridge area)","This Outcome Data Specialist is responsible for collecting, entering, and coordinating nursing outcome data.
P of Professional Practice/Nursing Quality Officer…",https://www.indeed.com/viewjob?jk=499ae1ccead240eb&from=serp&vjs=3
Claims Provider Data Oversight Manager,CareSource,Remote,Job Summary: The Claims Provider Data Oversight Manager oversees and manages the enhancement of claim outcomes across existing and emerging lines of business…,https://www.indeed.com/viewjob?jk=0f4d68c158231018&from=serp&vjs=3
SENIOR DATA ANALYST,NORTH EAST MEDICAL SERVICES,United States,"SUMMARY OF POSITION: The Senior Data Analyst will be responsible for projects involving research, analysis, and the presentation of findings, insights, and…",https://www.indeed.com/viewjob?jk=e024e330774c917c&from=serp&vjs=3
Data Visualization Developer (0652U) 70377,University of California Berkeley,"Berkeley, CA 94720","Data Visualization Developer (0652U) 70377 About Berkeley At the University of California, Berkeley, we are committed to creating a community that fosters…",https://www.indeed.com/viewjob?jk=3de8dd9e2ab40df0&from=serp&vjs=3
Data Scientist- CalAIM,"Public Health Foundation Enterprises, In","Los Angeles, CA 90014","Salary: $51.00 - $68.72 Per Hour Community Programs is a program office within Health Services Administration, a division under the Los Angeles County…",https://www.indeed.com/viewjob?jk=e74f4f502a36f16c&from=serp&vjs=3
RA Data Analytics Apprentice,DSM,Connecticut,"RA Data Analytics Apprentice Barcelona, Spain availability to do an Internship agreement (convenio de prácticas) or an Apprentice Contract (contrato en…",https://www.indeed.com/viewjob?jk=247c35234f64904a&from=serp&vjs=3
Data Scientist,Mimecast,"Lexington, MA 02421","The Data Science team at Mimecast is the advanced analytical engine of the Business Intelligence team, focused on solving high-value business problems using…",https://www.indeed.com/viewjob?jk=fbcf62571748d6b4&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257",EdPlus at ASU is a dynamic unit of Arizona State University focused on the design and scalable delivery of digital teaching and learning models to increase…,https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Overview Collect, analyze and report patient-related transplant, quality measures and outcomes data for the Blood and Marrow Transplant (BMT) Program and…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)",Description: Title: Data System Specialist Company: REACH/evergreen Treatment Services Location: Belltown office (hybrid role) Hours 8:30-4:30 M-F This…,https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a…,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Responsibilities: The Finance & Accounting Team has fiduciary responsibility for financial aspects of our end-to-end business, including all accounting and…",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504",Description The City of Lynchburg is currently seeking qualified candidates with proven research and analytical experience for the position of Data Analyst.…,https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","Provider Network Data Associate II Job Category: Provider Relations Department: Provider Data Management Location: Los Angeles, CA, US, 90017 Position Type:…",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Integrated Data Repository,Softrams,Remote,Softrams is one of the fastest growing digital services firms in the Washington Metropolitan regions crafting human-centered solutions and empowering digital…,https://www.indeed.com/viewjob?jk=7a843dee4acc3d1e&from=serp&vjs=3
Data Science Specialist,Tufts University,"Hybrid work in Somerville, MA 02144","Overview: Tufts Technology Services (TTS) is a university-wide service organization committed to delivering adaptable, results driven technology solutions in…",https://www.indeed.com/viewjob?jk=8ed82aba35a7c587&from=serp&vjs=3
